大分類,分類,代碼,中文名稱,支付點數(115.09.01),常用別名/縮寫,常見申報提醒(非官方),支付規範摘要
處置,震波碎石(論病例計酬),97405K,尿路結石體外震波碎石術(單側)(門診),,ESWL 醫學中心 單側,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97406A,尿路結石體外震波碎石術(單側)(門診),,ESWL 區域醫院 單側,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97407K,尿路結石體外震波碎石術(雙側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97408A,尿路結石體外震波碎石術(雙側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97409K,尿路結石體外震波碎石術(三十日內施行第二次，單側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97410A,尿路結石體外震波碎石術(三十日內施行第二次，單側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97411K,尿路結石體外震波碎石術(三十日內施行第二次，雙側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97412A,尿路結石體外震波碎石術(三十日內施行第二次，雙側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97420B,尿路結石體外震波碎石術(單側)(門診),,ESWL 地區醫院 單側,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97421B,尿路結石體外震波碎石術(雙側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97422B,尿路結石體外震波碎石術(三十日內施行第二次，單側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,震波碎石(論病例計酬),97423B,尿路結石體外震波碎石術(三十日內施行第二次，雙側)(門診),,,,1.診療項目要求表(詳附表6.4.2)(1)基本診療項目(2)選擇性診療項目2.主診斷碼及主手術(或處置)碼:主診斷碼(ICD-10-CM):N20.0、N20.0-N20.9主手術(或處置)碼(ICD-10-PCS):0TF3XZZ、0TF4XZZ、0TF6XZZ、0TF7XZZ、0TFBXZZ、0TFCXZZ、0WFRXZZ
處置,透析/移植相關,58002C,腹膜透析(一次),,peritoneal dialysis PD,,1.使用特殊材料及特殊藥劑者得加算其費用。2.本項102年支付標準調整按衛生福利部1031260015號函公告。
處置,透析/移植相關,58012B,連續性可攜帶式腹膜透析－4.連續性可攜帶式腹膜透析導管植入術。,,PD catheter Tenckhoff 腹膜透析導管,,1.限以經專案向健保署申請同意後之醫院申報2.包含手術費及一般材料費。
處置,透析/移植相關,01039C,腎臟移植諮詢費,,,,1.適應症:年齡未滿六十五歲符合下列任一條件者適用:(1)透析前，eGFR<10ml/min/1.73㎡連續二次，間隔三個月以上，且逐漸衰退者。(2)領有「慢性腎衰竭(尿毒症)，必須接受定期透析治療者」重大傷病證明(三個月以上)，並於開始接受透析一年內。2.支付規範:(1)諮詢參與人員:包括移植醫療團隊之外科、泌尿科、小兒外科或曾接受過台灣腎臟醫學會與台灣移植醫學會共同舉辦之腎臟移植諮詢訓練課程之腎臟科專科醫師，以及病人或病人家屬。(2)諮詢時間:每一個案諮詢時間至少十五分鐘。(3)諮詢紀錄:應有參與諮詢醫療團隊及病人或其家屬簽名之「腎臟移植諮詢檢核表(含醫病共享決策評估表)」，並應併入病人之病歷紀錄留存。(4)申報規定:A.門診、住診均可申報。B.每人終生限給付一次。C.不得與「全民健康保險鼓勵院所加強推動腹膜透析與提升照護品質計畫」之醫病共享決策診療項目、「全民健康保險末期腎臟病前期(Pre-ESRD)之病人照護與衛教計畫」P3405C「結案資料處理費」併同申報。
處置,透析/移植相關,P3411C,活體腎臟移植者之照護獎勵費,,,,"由Pre-ESRD計畫照護之個案完成申報結案資料處理費(P3405C)，且結案條件為「1:腎臟移植」，並完成接受親屬活體腎臟移植者，支付本計畫照護團隊獎勵費用60,000點。"
